,0,Jun 2022,          11.3%        ,10.0%,Unnamed: 4
570,16.0,Feb 2021,          2.8%        ,2.4%,
571,17.0,Jan 2021,          1.7%        ,0.7%,
572,18.0,Dec 2020,          0.8%        ,0.4%,
573,19.0,Nov 2020,          0.8%        ,1.0%,
574,20.0,Oct 2020,          0.5%        ,1.0%,
575,21.0,Sep 2020,          0.4%        ,-0.1%,
576,22.0,Aug 2020,          -0.2%        ,-0.3%,
577,23.0,Jul 2020,          -0.4%        ,-0.3%,
578,24.0,Jun 2020,          -0.8%        ,-1.0%,
579,25.0,May 2020,          -0.8%        ,-0.3%,
580,26.0,Apr 2020,          -1.2%        ,1.0%,
581,27.0,Mar 2020,          0.7%        ,1.0%,
582,28.0,Feb 2020,          1.3%        ,2.4%,
583,29.0,Jan 2020,          2.1%        ,1.6%,
584,30.0,Dec 2019,          1.3%        ,1.0%,
585,31.0,Nov 2019,          1.1%        ,0.4%,
586,32.0,Oct 2019,          1.1%        ,0.9%,
587,33.0,Sep 2019,          1.4%        ,2.2%,
588,34.0,Aug 2019,          1.8%        ,2.1%,
589,35.0,Jul 2019,          1.7%        ,1.2%,
590,36.0,Jun 2019,          1.7%        ,1.4%,
591,37.0,May 2019,          1.8%        ,2.2%,
592,38.0,Apr 2019,          2.2%        ,2.4%,
593,39.0,Mar 2019,          2.2%        ,1.6%,
594,40.0,Feb 2019,          1.9%        ,1.4%,
595,41.0,Jan 2019,          2.0%        ,2.0%,
596,42.0,Dec 2018,          2.5%        ,2.8%,
597,43.0,Nov 2018,          2.5%        ,2.6%,
598,44.0,Oct 2018,          2.9%        ,1.9%,
599,45.0,Sep 2018,          2.6%        ,2.5%,
600,46.0,Aug 2018,          2.8%        ,3.4%,
601,47.0,Jul 2018,          3.3%        ,3.2%,
602,48.0,Jun 2018,          3.4%        ,2.7%,
603,49.0,May 2018,          3.1%        ,2.7%,
604,50.0,Apr 2018,          2.6%        ,3.1%,
605,51.0,Mar 2018,          3.0%        ,2.7%,
606,52.0,Feb 2018,          2.8%        ,2.3%,
607,53.0,Jan 2018,          2.7%        ,2.2%,
608,54.0,Dec 2017,          2.6%        ,2.8%,
609,55.0,Nov 2017,          3.1%        ,3.0%,
610,56.0,Oct 2017,          2.8%        ,2.9%,
611,57.0,Sep 2017,          2.6%        ,2.6%,
612,58.0,Aug 2017,          2.4%        ,1.8%,
613,59.0,Jul 2017,          1.9%        ,1.7%,
614,60.0,Jun 2017,          2.0%        ,2.1%,
615,61.0,May 2017,          2.4%        ,2.6%,
616,62.0,Apr 2017,          2.5%        ,2.5%,
617,63.0,Mar 2017,          2.3%        ,,
618,64.0,Feb 2017,          2.2%        ,,
619,65.0,Jan 2017,          1.6%        ,,
620,66.0,Dec 2016,          1.6%        ,,
621,67.0,Nov 2016,          1.3%        ,,
622,68.0,Oct 2016,          0.8%        ,,
623,69.0,Sep 2016,          0.7%        ,,
624,70.0,Aug 2016,          0.0%        ,,
625,71.0,Jul 2016,          -0.2%        ,,
626,72.0,Jun 2016,          0.3%        ,,
627,73.0,May 2016,          -0.1%        ,,
628,74.0,Apr 2016,          0.0%        ,,
629,75.0,Mar 2016,          -0.1%        ,,
630,76.0,Feb 2016,          0.0%        ,,
631,77.0,Jan 2016,          -0.2%        ,,
632,78.0,Dec 2015,          -1.0%        ,,
633,79.0,Nov 2015,          -1.1%        ,,
634,80.0,Oct 2015,          -1.6%        ,,
635,81.0,Sep 2015,          -1.1%        ,,
636,82.0,Aug 2015,          -0.8%        ,,
637,83.0,Jul 2015,          -0.8%        ,,
638,84.0,Jun 2015,          -0.7%        ,,
639,85.0,May 2015,          -1.1%        ,,
640,86.0,Apr 2015,          -1.3%        ,,
641,87.0,Mar 2015,          -0.8%        ,,
642,88.0,Feb 2015,          -0.6%        ,,
643,89.0,Jan 2015,          0.0%        ,,
644,90.0,Dec 2014,          1.1%        ,,
645,91.0,Nov 2014,          1.4%        ,,
646,92.0,Oct 2014,          1.5%        ,,
647,93.0,Sep 2014,          1.6%        ,,
648,94.0,Aug 2014,          1.8%        ,,
649,95.0,Jul 2014,          1.7%        ,,
650,96.0,Jun 2014,          1.9%        ,,
651,97.0,May 2014,          2.0%        ,,
652,98.0,Apr 2014,          2.1%        ,,
653,99.0,Mar 2014,          1.4%        ,,
654,100.0,Feb 2014,          0.9%        ,,
655,101.0,Jan 2014,          1.2%        ,,
656,102.0,Dec 2013,          1.2%        ,,
657,103.0,Nov 2013,          0.7%        ,,
658,104.0,Oct 2013,          0.3%        ,,
659,105.0,Sep 2013,          0.3%        ,,
660,106.0,Aug 2013,          1.4%        ,,
661,107.0,Jul 2013,          2.1%        ,,
662,108.0,Jun 2013,          2.5%        ,,
663,109.0,May 2013,          1.7%        ,,
664,110.0,Apr 2013,          0.6%        ,,
665,111.0,Mar 2013,          1.1%        ,,
666,112.0,Feb 2013,          1.7%        ,,
667,113.0,Jan 2013,          1.4%        ,,
668,114.0,Dec 2012,          1.3%        ,,
669,115.0,Nov 2012,          1.5%        ,,
670,116.0,Oct 2012,          2.3%        ,,
671,117.0,Sep 2012,          2.1%        ,,
672,118.0,Aug 2012,          2.0%        ,,
673,119.0,Jul 2012,          0.5%        ,,
674,120.0,Jun 2012,          0.7%        ,,
675,121.0,May 2012,          0.7%        ,,
676,122.0,Apr 2012,          1.9%        ,,
677,123.0,Mar 2012,          2.8%        ,,
678,124.0,Feb 2012,          3.3%        ,,
679,125.0,Jan 2012,          4.1%        ,,
680,126.0,Dec 2011,          4.8%        ,,
681,127.0,Nov 2011,          5.7%        ,,
682,128.0,Oct 2011,          5.9%        ,,
683,129.0,Sep 2011,          6.9%        ,,
684,130.0,Aug 2011,          6.5%        ,,
685,131.0,Jul 2011,          7.2%        ,,
686,132.0,Jun 2011,          7.0%        ,,
687,133.0,May 2011,          7.3%        ,,
688,134.0,Apr 2011,          6.8%        ,,
689,135.0,Mar 2011,          5.8%        ,,
690,136.0,Feb 2011,          5.6%        ,,
691,137.0,Jan 2011,          3.6%        ,,
692,138.0,Dec 2010,          4.0%        ,,
693,139.0,Nov 2010,          3.5%        ,,
694,140.0,Oct 2010,          4.3%        ,,
695,141.0,Sep 2010,          4.0%        ,,
696,142.0,Aug 2010,          3.1%        ,,
697,143.0,Jul 2010,          4.2%        ,,
698,144.0,Jun 2010,          2.8%        ,,
699,145.0,May 2010,          5.3%        ,,
700,146.0,Apr 2010,          5.5%        ,,
701,147.0,Mar 2010,          6.0%        ,,
702,148.0,Feb 2010,          4.4%        ,,
703,149.0,Jan 2010,          4.6%        ,,
704,150.0,Dec 2009,          4.4%        ,,
705,151.0,Nov 2009,          2.4%        ,,
706,152.0,Oct 2009,          -1.9%        ,,
707,153.0,Sep 2009,          -4.8%        ,,
708,154.0,Aug 2009,          -4.3%        ,,
709,155.0,Jul 2009,          -6.8%        ,,
710,156.0,Jun 2009,          -4.6%        ,,
711,157.0,May 2009,          -5.0%        ,,
712,158.0,Apr 2009,          -3.7%        ,,
713,159.0,Mar 2009,          -3.5%        ,,
714,160.0,Feb 2009,          -1.3%        ,,
715,161.0,Jan 2009,          1.0%        ,,
716,162.0,Dec 2008,          -0.9%        ,,
717,163.0,Nov 2008,          0.4%        ,,
718,164.0,Oct 2008,          5.2%        ,,
719,165.0,Sep 2008,          8.7%        ,,
720,166.0,Aug 2008,          9.6%        ,,
721,167.0,Jul 2008,          9.8%        ,,
722,168.0,Jun 2008,          9.2%        ,,
723,169.0,May 2008,          7.2%        ,,
724,170.0,Apr 2008,          6.5%        ,,
725,171.0,Mar 2008,          6.9%        ,,
726,172.0,Feb 2008,          6.4%        ,,
727,173.0,Jan 2008,          7.4%        ,,
728,174.0,Dec 2007,          6.3%        ,,
729,175.0,Nov 2007,          7.2%        ,,
730,176.0,Oct 2007,          6.1%        ,,
731,177.0,Sep 2007,          4.4%        ,,
732,178.0,Aug 2007,          2.2%        ,,
733,179.0,Jul 2007,          4.0%        ,,
734,180.0,Jun 2007,          3.3%        ,,
735,181.0,May 2007,          4.1%        ,,
736,182.0,Apr 2007,          3.2%        ,,
737,183.0,Feb 2007,          3.2%        ,,
738,184.0,Jan 2007,          0.2%        ,,
739,0.0,Jun 2022,          11.3%        ,10.0%,
740,1.0,May 2022,          10.8%        ,11.1%,
741,2.0,Apr 2022,          11.0%        ,12.2%,
742,3.0,Mar 2022,          11.2%        ,9.4%,
743,4.0,Feb 2022,          10.0%        ,9.1%,
744,5.0,Jan 2022,          9.7%        ,10.1%,
745,6.0,Dec 2021,          9.7%        ,10.1%,
746,7.0,Nov 2021,          9.6%        ,8.3%,
747,8.0,Oct 2021,          8.6%        ,8.6%,
748,9.0,Sep 2021,          8.6%        ,8.7%,
749,10.0,Aug 2021,          8.3%        ,7.8%,
750,11.0,Jul 2021,          7.8%        ,7.3%,
751,12.0,Jun 2021,          7.3%        ,7.1%,
752,13.0,May 2021,          6.6%        ,7.2%,
753,14.0,Apr 2021,          6.2%        ,4.9%,
754,15.0,Mar 2021,          4.2%        ,3.7%,
755,16.0,Feb 2021,          2.8%        ,2.4%,
756,17.0,Jan 2021,          1.7%        ,0.7%,
757,18.0,Dec 2020,          0.8%        ,0.4%,
758,19.0,Nov 2020,          0.8%        ,1.0%,
759,20.0,Oct 2020,          0.5%        ,1.0%,
760,21.0,Sep 2020,          0.4%        ,-0.1%,
761,22.0,Aug 2020,          -0.2%        ,-0.3%,
762,23.0,Jul 2020,          -0.4%        ,-0.3%,
763,24.0,Jun 2020,          -0.8%        ,-1.0%,
764,25.0,May 2020,          -0.8%        ,-0.3%,
765,26.0,Apr 2020,          -1.2%        ,1.0%,
766,27.0,Mar 2020,          0.7%        ,1.0%,
767,28.0,Feb 2020,          1.3%        ,2.4%,
768,29.0,Jan 2020,          2.1%        ,1.6%,
769,30.0,Dec 2019,          1.3%        ,1.0%,
770,31.0,Nov 2019,          1.1%        ,0.4%,
771,32.0,Oct 2019,          1.1%        ,0.9%,
772,33.0,Sep 2019,          1.4%        ,2.2%,
773,34.0,Aug 2019,          1.8%        ,2.1%,
774,35.0,Jul 2019,          1.7%        ,1.2%,
775,36.0,Jun 2019,          1.7%        ,1.4%,
776,37.0,May 2019,          1.8%        ,2.2%,
777,38.0,Apr 2019,          2.2%        ,2.4%,
778,39.0,Mar 2019,          2.2%        ,1.6%,
779,40.0,Feb 2019,          1.9%        ,1.4%,
780,41.0,Jan 2019,          2.0%        ,2.0%,
781,42.0,Dec 2018,          2.5%        ,2.8%,
782,43.0,Nov 2018,          2.5%        ,2.6%,
783,44.0,Oct 2018,          2.9%        ,1.9%,
784,45.0,Sep 2018,          2.6%        ,2.5%,
785,46.0,Aug 2018,          2.8%        ,3.4%,
786,47.0,Jul 2018,          3.3%        ,3.2%,
787,48.0,Jun 2018,          3.4%        ,2.7%,
788,49.0,May 2018,          3.1%        ,2.7%,
789,50.0,Apr 2018,          2.6%        ,3.1%,
790,51.0,Mar 2018,          3.0%        ,2.7%,
791,52.0,Feb 2018,          2.8%        ,2.3%,
792,53.0,Jan 2018,          2.7%        ,2.2%,
793,54.0,Dec 2017,          2.6%        ,2.8%,
794,55.0,Nov 2017,          3.1%        ,3.0%,
795,56.0,Oct 2017,          2.8%        ,2.9%,
796,57.0,Sep 2017,          2.6%        ,2.6%,
797,58.0,Aug 2017,          2.4%        ,1.8%,
798,59.0,Jul 2017,          1.9%        ,1.7%,
799,60.0,Jun 2017,          2.0%        ,2.1%,
800,61.0,May 2017,          2.4%        ,2.6%,
801,62.0,Apr 2017,          2.5%        ,2.5%,
802,63.0,Mar 2017,          2.3%        ,,
803,64.0,Feb 2017,          2.2%        ,,
804,65.0,Jan 2017,          1.6%        ,,
805,66.0,Dec 2016,          1.6%        ,,
806,67.0,Nov 2016,          1.3%        ,,
807,68.0,Oct 2016,          0.8%        ,,
808,69.0,Sep 2016,          0.7%        ,,
809,70.0,Aug 2016,          0.0%        ,,
810,71.0,Jul 2016,          -0.2%        ,,
811,72.0,Jun 2016,          0.3%        ,,
812,73.0,May 2016,          -0.1%        ,,
813,74.0,Apr 2016,          0.0%        ,,
814,75.0,Mar 2016,          -0.1%        ,,
815,76.0,Feb 2016,          0.0%        ,,
816,77.0,Jan 2016,          -0.2%        ,,
817,78.0,Dec 2015,          -1.0%        ,,
818,79.0,Nov 2015,          -1.1%        ,,
819,80.0,Oct 2015,          -1.6%        ,,
820,81.0,Sep 2015,          -1.1%        ,,
821,82.0,Aug 2015,          -0.8%        ,,
822,83.0,Jul 2015,          -0.8%        ,,
823,84.0,Jun 2015,          -0.7%        ,,
824,85.0,May 2015,          -1.1%        ,,
825,86.0,Apr 2015,          -1.3%        ,,
826,87.0,Mar 2015,          -0.8%        ,,
827,88.0,Feb 2015,          -0.6%        ,,
828,89.0,Jan 2015,          0.0%        ,,
829,90.0,Dec 2014,          1.1%        ,,
830,91.0,Nov 2014,          1.4%        ,,
831,92.0,Oct 2014,          1.5%        ,,
832,93.0,Sep 2014,          1.6%        ,,
833,94.0,Aug 2014,          1.8%        ,,
834,95.0,Jul 2014,          1.7%        ,,
835,96.0,Jun 2014,          1.9%        ,,
836,97.0,May 2014,          2.0%        ,,
837,98.0,Apr 2014,          2.1%        ,,
838,99.0,Mar 2014,          1.4%        ,,
839,100.0,Feb 2014,          0.9%        ,,
840,101.0,Jan 2014,          1.2%        ,,
841,102.0,Dec 2013,          1.2%        ,,
842,103.0,Nov 2013,          0.7%        ,,
843,104.0,Oct 2013,          0.3%        ,,
844,105.0,Sep 2013,          0.3%        ,,
845,106.0,Aug 2013,          1.4%        ,,
846,107.0,Jul 2013,          2.1%        ,,
847,108.0,Jun 2013,          2.5%        ,,
848,109.0,May 2013,          1.7%        ,,
849,110.0,Apr 2013,          0.6%        ,,
850,111.0,Mar 2013,          1.1%        ,,
851,112.0,Feb 2013,          1.7%        ,,
852,113.0,Jan 2013,          1.4%        ,,
853,114.0,Dec 2012,          1.3%        ,,
854,115.0,Nov 2012,          1.5%        ,,
855,116.0,Oct 2012,          2.3%        ,,
856,117.0,Sep 2012,          2.1%        ,,
857,118.0,Aug 2012,          2.0%        ,,
858,119.0,Jul 2012,          0.5%        ,,
859,120.0,Jun 2012,          0.7%        ,,
860,121.0,May 2012,          0.7%        ,,
861,122.0,Apr 2012,          1.9%        ,,
862,123.0,Mar 2012,          2.8%        ,,
863,124.0,Feb 2012,          3.3%        ,,
864,125.0,Jan 2012,          4.1%        ,,
865,126.0,Dec 2011,          4.8%        ,,
866,127.0,Nov 2011,          5.7%        ,,
867,128.0,Oct 2011,          5.9%        ,,
868,129.0,Sep 2011,          6.9%        ,,
869,130.0,Aug 2011,          6.5%        ,,
870,131.0,Jul 2011,          7.2%        ,,
871,132.0,Jun 2011,          7.0%        ,,
872,133.0,May 2011,          7.3%        ,,
873,134.0,Apr 2011,          6.8%        ,,
874,135.0,Mar 2011,          5.8%        ,,
875,136.0,Feb 2011,          5.6%        ,,
876,137.0,Jan 2011,          3.6%        ,,
877,138.0,Dec 2010,          4.0%        ,,
878,139.0,Nov 2010,          3.5%        ,,
879,140.0,Oct 2010,          4.3%        ,,
880,141.0,Sep 2010,          4.0%        ,,
881,142.0,Aug 2010,          3.1%        ,,
882,143.0,Jul 2010,          4.2%        ,,
883,144.0,Jun 2010,          2.8%        ,,
884,145.0,May 2010,          5.3%        ,,
885,146.0,Apr 2010,          5.5%        ,,
886,147.0,Mar 2010,          6.0%        ,,
887,148.0,Feb 2010,          4.4%        ,,
888,149.0,Jan 2010,          4.6%        ,,
889,150.0,Dec 2009,          4.4%        ,,
890,151.0,Nov 2009,          2.4%        ,,
891,152.0,Oct 2009,          -1.9%        ,,
892,153.0,Sep 2009,          -4.8%        ,,
893,154.0,Aug 2009,          -4.3%        ,,
894,155.0,Jul 2009,          -6.8%        ,,
895,156.0,Jun 2009,          -4.6%        ,,
896,157.0,May 2009,          -5.0%        ,,
897,158.0,Apr 2009,          -3.7%        ,,
898,159.0,Mar 2009,          -3.5%        ,,
899,160.0,Feb 2009,          -1.3%        ,,
900,161.0,Jan 2009,          1.0%        ,,
901,162.0,Dec 2008,          -0.9%        ,,
902,163.0,Nov 2008,          0.4%        ,,
903,164.0,Oct 2008,          5.2%        ,,
904,165.0,Sep 2008,          8.7%        ,,
905,166.0,Aug 2008,          9.6%        ,,
906,167.0,Jul 2008,          9.8%        ,,
907,168.0,Jun 2008,          9.2%        ,,
908,169.0,May 2008,          7.2%        ,,
909,170.0,Apr 2008,          6.5%        ,,
910,171.0,Mar 2008,          6.9%        ,,
911,172.0,Feb 2008,          6.4%        ,,
912,173.0,Jan 2008,          7.4%        ,,
913,174.0,Dec 2007,          6.3%        ,,
914,175.0,Nov 2007,          7.2%        ,,
915,176.0,Oct 2007,          6.1%        ,,
916,177.0,Sep 2007,          4.4%        ,,
917,178.0,Aug 2007,          2.2%        ,,
918,179.0,Jul 2007,          4.0%        ,,
919,180.0,Jun 2007,          3.3%        ,,
920,181.0,May 2007,          4.1%        ,,
921,182.0,Apr 2007,          3.2%        ,,
922,183.0,Feb 2007,          3.2%        ,,
923,184.0,Jan 2007,          0.2%        ,,
924,0.0,Jun 2022,          11.3%        ,10.0%,
925,1.0,May 2022,          10.8%        ,11.1%,
926,2.0,Apr 2022,          11.0%        ,12.2%,
927,3.0,Mar 2022,          11.2%        ,9.4%,
928,4.0,Feb 2022,          10.0%        ,9.1%,
929,5.0,Jan 2022,          9.7%        ,10.1%,
930,6.0,Dec 2021,          9.7%        ,10.1%,
931,7.0,Nov 2021,          9.6%        ,8.3%,
932,8.0,Oct 2021,          8.6%        ,8.6%,
933,9.0,Sep 2021,          8.6%        ,8.7%,
934,10.0,Aug 2021,          8.3%        ,7.8%,
935,11.0,Jul 2021,          7.8%        ,7.3%,
936,12.0,Jun 2021,          7.3%        ,7.1%,
937,13.0,May 2021,          6.6%        ,7.2%,
938,14.0,Apr 2021,          6.2%        ,4.9%,
939,15.0,Mar 2021,          4.2%        ,3.7%,
940,16.0,Feb 2021,          2.8%        ,2.4%,
941,17.0,Jan 2021,          1.7%        ,0.7%,
942,18.0,Dec 2020,          0.8%        ,0.4%,
943,19.0,Nov 2020,          0.8%        ,1.0%,
944,20.0,Oct 2020,          0.5%        ,1.0%,
945,21.0,Sep 2020,          0.4%        ,-0.1%,
946,22.0,Aug 2020,          -0.2%        ,-0.3%,
947,23.0,Jul 2020,          -0.4%        ,-0.3%,
948,24.0,Jun 2020,          -0.8%        ,-1.0%,
949,25.0,May 2020,          -0.8%        ,-0.3%,
950,26.0,Apr 2020,          -1.2%        ,1.0%,
951,27.0,Mar 2020,          0.7%        ,1.0%,
952,28.0,Feb 2020,          1.3%        ,2.4%,
953,29.0,Jan 2020,          2.1%        ,1.6%,
954,30.0,Dec 2019,          1.3%        ,1.0%,
955,31.0,Nov 2019,          1.1%        ,0.4%,
956,32.0,Oct 2019,          1.1%        ,0.9%,
957,33.0,Sep 2019,          1.4%        ,2.2%,
958,34.0,Aug 2019,          1.8%        ,2.1%,
959,35.0,Jul 2019,          1.7%        ,1.2%,
960,36.0,Jun 2019,          1.7%        ,1.4%,
961,37.0,May 2019,          1.8%        ,2.2%,
962,38.0,Apr 2019,          2.2%        ,2.4%,
963,39.0,Mar 2019,          2.2%        ,1.6%,
964,40.0,Feb 2019,          1.9%        ,1.4%,
965,41.0,Jan 2019,          2.0%        ,2.0%,
966,42.0,Dec 2018,          2.5%        ,2.8%,
967,43.0,Nov 2018,          2.5%        ,2.6%,
968,44.0,Oct 2018,          2.9%        ,1.9%,
969,45.0,Sep 2018,          2.6%        ,2.5%,
970,46.0,Aug 2018,          2.8%        ,3.4%,
971,47.0,Jul 2018,          3.3%        ,3.2%,
972,48.0,Jun 2018,          3.4%        ,2.7%,
973,49.0,May 2018,          3.1%        ,2.7%,
974,50.0,Apr 2018,          2.6%        ,3.1%,
975,51.0,Mar 2018,          3.0%        ,2.7%,
976,52.0,Feb 2018,          2.8%        ,2.3%,
977,53.0,Jan 2018,          2.7%        ,2.2%,
978,54.0,Dec 2017,          2.6%        ,2.8%,
979,55.0,Nov 2017,          3.1%        ,3.0%,
980,56.0,Oct 2017,          2.8%        ,2.9%,
981,57.0,Sep 2017,          2.6%        ,2.6%,
982,58.0,Aug 2017,          2.4%        ,1.8%,
983,59.0,Jul 2017,          1.9%        ,1.7%,
984,60.0,Jun 2017,          2.0%        ,2.1%,
985,61.0,May 2017,          2.4%        ,2.6%,
986,62.0,Apr 2017,          2.5%        ,2.5%,
987,63.0,Mar 2017,          2.3%        ,,
988,64.0,Feb 2017,          2.2%        ,,
989,65.0,Jan 2017,          1.6%        ,,
990,66.0,Dec 2016,          1.6%        ,,
991,67.0,Nov 2016,          1.3%        ,,
992,68.0,Oct 2016,          0.8%        ,,
993,69.0,Sep 2016,          0.7%        ,,
994,70.0,Aug 2016,          0.0%        ,,
995,71.0,Jul 2016,          -0.2%        ,,
996,72.0,Jun 2016,          0.3%        ,,
997,73.0,May 2016,          -0.1%        ,,
998,74.0,Apr 2016,          0.0%        ,,
